run_id,timestamp,backend,mode,image_file,resolution,ssp,depth,mpi_ranks,omp_threads,ngpus,time_seconds
cpu_parallel_2026-04-19_time_17h46m52s,2026-04-19_time_17h46m52s,cpu,parallel,cpu_640x360_ssp16_depth2_2026-04-19_time_17h46m52s.png,640x360,16,2,4,5,0,8.367454
cpu_parallel_2026-04-19_time_19h11m11s,2026-04-19_time_19h11m11s,cpu,parallel,cpu_640x360_ssp16_depth2_2026-04-19_time_19h11m11s.png,640x360,16,2,4,5,0,8.374935
cpu_parallel_2026-04-19_time_22h38m36s,2026-04-19_time_22h38m36s,cpu,parallel,cpu_1280x720_ssp128_depth10_2026-04-19_time_22h38m36s.png,1280x720,128,10,4,5,0,348.450635
cpu_parallel_2026-04-21_time_00h08m35s,2026-04-21_time_00h08m35s,cpu,parallel,cpu_2560x1440_ssp768_depth12_2026-04-21_time_00h08m35s.png,2560x1440,768,12,4,2,0,17724.222973
cpu_parallel_2026-04-21_time_05h05m42s,2026-04-21_time_05h05m42s,cpu,parallel,cpu_1920x1080_ssp512_depth10_2026-04-21_time_05h05m42s.png,1920x1080,512,10,2,1,0,16707.458442
cpu_parallel_2026-04-22_time_13h24m05s,2026-04-22_time_13h24m05s,cpu,parallel,cpu_1600x900_ssp768_depth12_2026-04-22_time_13h24m05s.png,1600x900,768,12,4,4,0,3736.803070
cpu_parallel_2026-04-22_time_16h11m24s,2026-04-22_time_16h11m24s,cpu,parallel,cpu_3840x2160_ssp768_depth12_2026-04-22_time_16h11m24s.png,3840x2160,768,12,4,4,0,20036.324122
cpu_parallel_2026-04-22_time_22h34m06s,2026-04-22_time_22h34m06s,cpu,parallel,cpu_3840x2160_ssp768_depth12_2026-04-22_time_22h34m06s.png,3840x2160,768,12,8,5,0,12706.769255
cpu_parallel_2026-04-23_time_03h54m51s,2026-04-23_time_03h54m51s,cpu,parallel,cpu_3840x2160_ssp768_depth12_2026-04-23_time_03h54m51s.png,3840x2160,768,12,4,5,0,21184.077095
cpu_parallel_2026-04-23_time_10h10m58s,2026-04-23_time_10h10m58s,cpu,parallel,cpu_3840x2160_ssp768_depth12_2026-04-23_time_10h10m58s.png,3840x2160,768,12,8,4,0,15027.307850
